152th results => Agent cycle: 144, Added: 3000, InQLoss: 7.9179, ExQLoss: 0.0050, EmbeddingLoss: 1.6012, LifeLongLoss: 0.00000002 
153th results => Agent cycle: 142, Added: 2850, InQLoss: 7.9334, ExQLoss: 0.0055, EmbeddingLoss: 1.6030, LifeLongLoss: 0.00000002 
154th results => Agent cycle: 145, Added: 2851, InQLoss: 9.1354, ExQLoss: 0.0058, EmbeddingLoss: 1.5818, LifeLongLoss: 0.00000003 
155th results => Agent cycle: 150, Added: 3113, InQLoss: 9.0217, ExQLoss: 0.0057, EmbeddingLoss: 1.5755, LifeLongLoss: 0.00000001 
156th results => Agent cycle: 142, Added: 2494, InQLoss: 7.9808, ExQLoss: 0.0049, EmbeddingLoss: 1.5912, LifeLongLoss: 0.00000002 
157th results => Agent cycle: 170, Added: 3464, InQLoss: 7.9039, ExQLoss: 0.0052, EmbeddingLoss: 1.5829, LifeLongLoss: 0.00000001 
158th results => Agent cycle: 150, Added: 2787, InQLoss: 9.9802, ExQLoss: 0.0052, EmbeddingLoss: 1.5535, LifeLongLoss: 0.00000001 
159th results => Agent cycle: 158, Added: 3343, InQLoss: 10.8810, ExQLoss: 0.0059, EmbeddingLoss: 1.5569, LifeLongLoss: 0.00000001 
160th results => Agent cycle: 154, Added: 2637, InQLoss: 9.4668, ExQLoss: 0.0057, EmbeddingLoss: 1.5629, LifeLongLoss: 0.00000001 
161th results => Agent cycle: 164, Added: 3668, InQLoss: 11.0193, ExQLoss: 0.0051, EmbeddingLoss: 1.5599, LifeLongLoss: 0.00000001 
162th results => Agent cycle: 152, Added: 3009, InQLoss: 14.3407, ExQLoss: 0.0050, EmbeddingLoss: 1.5583, LifeLongLoss: 0.00000001 
163th results => Agent cycle: 156, Added: 2927, InQLoss: 10.2530, ExQLoss: 0.0060, EmbeddingLoss: 1.5741, LifeLongLoss: 0.00000001 
164th results => Agent cycle: 150, Added: 3073, InQLoss: 9.8656, ExQLoss: 0.0047, EmbeddingLoss: 1.5585, LifeLongLoss: 0.00000001 
165th results => Agent cycle: 164, Added: 3037, InQLoss: 13.3659, ExQLoss: 0.0053, EmbeddingLoss: 1.5607, LifeLongLoss: 0.00000001 
166th results => Agent cycle: 150, Added: 3164, InQLoss: 9.5707, ExQLoss: 0.0051, EmbeddingLoss: 1.5367, LifeLongLoss: 0.00000001 
167th results => Agent cycle: 147, Added: 2958, InQLoss: 9.6802, ExQLoss: 0.0048, EmbeddingLoss: 1.5508, LifeLongLoss: 0.00000001 
168th results => Agent cycle: 145, Added: 2951, InQLoss: 11.5106, ExQLoss: 0.0055, EmbeddingLoss: 1.5376, LifeLongLoss: 0.00000001 
169th results => Agent cycle: 151, Added: 3188, InQLoss: 11.2362, ExQLoss: 0.0047, EmbeddingLoss: 1.5435, LifeLongLoss: 0.00000001 
170th results => Agent cycle: 144, Added: 2842, InQLoss: 10.8828, ExQLoss: 0.0049, EmbeddingLoss: 1.5395, LifeLongLoss: 0.00000001 
171th results => Agent cycle: 150, Added: 3227, InQLoss: 10.4942, ExQLoss: 0.0046, EmbeddingLoss: 1.5542, LifeLongLoss: 0.00000001 
172th results => Agent cycle: 148, Added: 3072, InQLoss: 10.2283, ExQLoss: 0.0056, EmbeddingLoss: 1.5567, LifeLongLoss: 0.00000001 
173th results => Agent cycle: 142, Added: 2892, InQLoss: 10.4528, ExQLoss: 0.0052, EmbeddingLoss: 1.5431, LifeLongLoss: 0.00000001 
174th results => Agent cycle: 131, Added: 2826, InQLoss: 10.2265, ExQLoss: 0.0049, EmbeddingLoss: 1.5664, LifeLongLoss: 0.00000001 
175th results => Agent cycle: 108, Added: 2512, InQLoss: 10.0420, ExQLoss: 0.0056, EmbeddingLoss: 1.5534, LifeLongLoss: 0.00000001 
176th results => Agent cycle: 119, Added: 2886, InQLoss: 9.2052, ExQLoss: 0.0047, EmbeddingLoss: 1.5793, LifeLongLoss: 0.00000001 
177th results => Agent cycle: 113, Added: 2334, InQLoss: 9.7398, ExQLoss: 0.0055, EmbeddingLoss: 1.5374, LifeLongLoss: 0.00000001 
